sentence_id,token_position,token,lemma,pos,dependency_relation,head_token,entity_type
3,20,.,.,PUNCT,punct,era,O
4,0,-,-,PUNCT,punct,difficile,O
4,1,Sarà,essere,AUX,cop,difficile,O
4,2,tanto,tanto,ADV,advmod,difficile,O
4,3,difficile,difficile,ADJ,root,ROOT,O
4,4,fare,fare,VERB,csubj,difficile,O
4,5,l',il,DET,det,astrologo,O
4,6,astrologo,astrologo,NOUN,obj,fare,O
4,7,?,?,PUNCT,punct,difficile,O
5,0,-,-,PUNCT,punct,disse,O
5,1,si,si,PRON,expl,disse,O
5,2,disse,dire,VERB,root,ROOT,O
5,3,.,.,PUNCT,punct,disse,O
6,0,-,-,PUNCT,punct,provare,O
6,1,Mi,mi,PRON,iobj,provare,O
6,2,ci,ci,PRON,expl,provare,O
6,3,voglio,volere,AUX,aux,provare,O
6,4,provare,provare,VERB,root,ROOT,O
6,5,.,.,PUNCT,punct,provare,O
7,0,E,e,CCONJ,cc,andò,O
7,1,andò,andare,VERB,root,ROOT,O
7,2,da,da,ADP,case,Re,O
7,3,il,il,DET,det,Re,O
7,4,Re,Re,PROPN,obl,andò,O
7,5,.,.,PUNCT,punct,andò,O
8,0,Il,il,DET,det,Re,O
8,1,Re,Re,PROPN,nsubj,prese,O
8,2,lo,lo,PRON,obj,prese,O
8,3,prese,prendere,VERB,root,ROOT,O
8,4,in,in,ADP,case,parola,O
8,5,parola,parola,NOUN,obl,prese,O
8,6,",",",",PUNCT,punct,chiuse,O
8,7,e,e,CCONJ,cc,chiuse,O
8,8,lo,lo,PRON,obj,chiuse,O
8,9,chiuse,chiudere,VERB,conj,prese,O
8,10,a,a,ADP,mark,studiare,O
8,11,studiare,studiare,VERB,xcomp,chiuse,O
8,12,in,in,ADP,case,stanza,O
8,13,una,uno,DET,det,stanza,O
8,14,stanza,stanza,NOUN,obl,studiare,O
8,15,dove,dove,ADV,advmod,erano,O
8,16,c',ci,PRON,expl,erano,O
8,17,erano,essere,VERB,acl:relcl,stanza,O
8,18,solo,solo,ADV,advmod,letto,O
8,19,un,uno,DET,det,letto,O
8,20,letto,letto,NOUN,nsubj,erano,O
8,21,e,e,CCONJ,cc,tavolo,O
8,22,un,uno,DET,det,tavolo,O
8,23,tavolo,tavolo,NOUN,conj,letto,O
8,24,con,con,ADP,case,libraccio,O
8,25,un,uno,DET,det,libraccio,O
8,26,gran,grande,ADJ,amod,libraccio,O
8,27,libraccio,libro,NOUN,nmod,tavolo,O
8,28,d',di,ADP,case,astrologia,O
8,29,astrologia,astrologia,NOUN,nmod,libraccio,O
8,30,",",",",PUNCT,punct,penna,O
8,31,e,e,CCONJ,cc,penna,O
8,32,penna,penna,NOUN,conj,libraccio,O
8,33,carta,carta,NOUN,nmod,penna,O
8,34,e,e,CCONJ,cc,calamaio,O
8,35,calamaio,calamaio,NOUN,conj,carta,O
8,36,.,.,PUNCT,punct,prese,O
9,0,Gambara,Gambara,PROPN,nsubj,sedette,O
9,1,si,si,PRON,expl,sedette,O
9,2,sedette,sedere,VERB,root,ROOT,O
9,3,a,a,ADP,case,tavolo,O
9,4,il,il,DET,det,tavolo,O
9,5,tavolo,tavolo,NOUN,obl,sedette,O
9,6,e,e,CCONJ,cc,cominciò,O
9,7,cominciò,cominciare,VERB,conj,sedette,O
9,8,a,a,ADP,mark,scartabellare,O
9,9,scartabellare,scartabellare,VERB,xcomp,cominciò,O
9,10,il,il,DET,det,libro,O
9,11,libro,libro,NOUN,obj,scartabellare,O
9,12,senza,senza,ADP,mark,capir,O
9,13,capir,capire,VERB,advcl,scartabellare,O
9,14,ci,ci,PRON,expl,capir,O
9,15,niente,niente,PRON,obj,capir,O
9,16,e,e,CCONJ,cc,farci,O
9,17,a,a,ADP,mark,farci,O
9,18,farci,fare,VERB,conj,capir,O
9,19,di,di,ADP,case,segni,O
9,20,i,il,DET,det,segni,O
9,21,segni,segno,NOUN,obl,farci,O
9,22,con,con,ADP,case,penna,O
9,23,la,il,DET,det,penna,O
9,24,penna,penna,NOUN,obl,farci,O
9,25,.,.,PUNCT,punct,sedette,O
10,0,Siccome,siccome,SCONJ,mark,sapeva,O
10,1,non,non,ADV,advmod,sapeva,O
10,2,sapeva,sapere,VERB,advcl,venivano,O
10,3,scrivere,scrivere,VERB,xcomp,sapeva,O
10,4,",",",",PUNCT,punct,sapeva,O
10,5,venivano,venire,VERB,root,ROOT,O
10,6,fuori,fuori,ADV,case,segni,O
10,7,di,di,ADP,case,segni,O
10,8,i,il,DET,det,segni,O
10,9,segni,segno,NOUN,obl,venivano,O
10,10,ben,bene,ADV,advmod,strani,O
10,11,strani,strano,ADJ,amod,segni,O
10,12,",",",",PUNCT,punct,fecero,O
10,13,e,e,CCONJ,cc,fecero,O
10,14,i,il,DET,det,servi,O
10,15,servi,servo,NOUN,nsubj,fecero,O
10,16,che,che,PRON,nsubj,entravano,O
10,17,entravano,entrare,VERB,acl:relcl,servi,O
10,18,due,due,NUM,nummod,volte,O
10,19,volte,volta,NOUN,obl,entravano,O
10,20,a,a,ADP,case,giorno,O
10,21,il,il,DET,det,giorno,O
10,22,giorno,giorno,NOUN,obl,entravano,O
10,23,a,a,ADP,mark,portargli,O
10,24,portargli,portare,VERB,ccomp,entravano,O
10,25,da,da,ADP,mark,mangiare,O
10,26,mangiare,mangiare,VERB,xcomp,portargli,O
10,27,",",",",PUNCT,punct,servi,O
10,28,si,si,PRON,expl,fecero,O
10,29,fecero,fare,VERB,conj,venivano,O
10,30,l',il,DET,det,idea,O
10,31,idea,idea,NOUN,obj,fecero,O
10,32,che,che,SCONJ,mark,astrologo,O
10,33,fosse,essere,AUX,cop,astrologo,O
10,34,un,uno,DET,det,astrologo,O
10,35,astrologo,astrologo,NOUN,acl,idea,O
10,36,sapiente,sapiente,ADJ,amod,astrologo,O
10,37,.,.,PUNCT,punct,venivano,O
11,0,Questi,questo,DET,det,servi,O
11,1,servi,servo,NOUN,nsubj,loro,O
11,2,erano,essere,AUX,aux,loro,O
11,3,stati,essere,AUX,cop,loro,O
11,4,loro,loro,PRON,root,ROOT,O
11,5,a,a,ADP,mark,rubare,O
11,6,rubare,rubare,VERB,ccomp,loro,O
11,7,l',il,DET,det,anello,O
11,8,anello,anello,NOUN,obj,rubare,O
11,9,",",",",PUNCT,punct,parevano,O
11,10,e,e,CCONJ,cc,parevano,O
11,11,con,con,ADP,case,coscienza,O
11,12,la,il,DET,det,coscienza,O
11,13,coscienza,coscienza,NOUN,obl,parevano,O
11,14,sporca,sporco,ADJ,amod,coscienza,O
11,15,che,che,PRON,nsubj,avevano,O
11,16,avevano,avere,VERB,acl:relcl,coscienza,O
11,17,",",",",PUNCT,punct,parevano,O
11,18,le,il,DET,det,occhiatacce,O
11,19,occhiatacce,occhiataccia,NOUN,nsubj,parevano,O
11,20,che,che,PRON,nsubj,rivolgeva,O
11,21,rivolgeva,rivolgere,VERB,acl:relcl,occhiatacce,O
11,22,loro,loro,DET,det:poss,Gambara,O
11,23,Gambara,Gambara,PROPN,obj,rivolgeva,O
11,24,ogni,ogni,DET,det,volta,O
11,25,volta,volta,NOUN,obl,rivolgeva,O
11,26,che,che,PRON,nsubj,entravano,O
11,27,entravano,entrare,VERB,acl:relcl,volta,O
11,28,",",",",PUNCT,punct,entravano,O
11,29,per,per,ADP,mark,dar,O
11,30,dar,dare,VERB,advcl,entravano,O
11,31,si,si,PRON,expl,dar,O
11,32,aria,aria,NOUN,obj,dar,O
11,33,d',di,ADP,case,uomo,O
11,34,uomo,uomo,NOUN,nmod,aria,O
11,35,d',di,ADP,case,autorità,O
11,36,autorità,autorità,NOUN,nmod,uomo,O
11,37,",",",",PUNCT,punct,occhiatacce,O
11,38,parevano,parere,VERB,conj,loro,O
11,39,loro,loro,DET,det:poss,occhiate,O
11,40,occhiate,occhiata,NOUN,obj,parevano,O
11,41,di,di,ADP,case,sospetto,O
11,42,sospetto,sospetto,NOUN,nmod,occhiate,O
11,43,.,.,PUNCT,punct,loro,O
12,0,Cominciarono,cominciare,VERB,root,ROOT,O
12,1,ad,a,ADP,mark,aver,O
12,2,aver,avere,VERB,ccomp,Cominciarono,O
12,3,paura,paura,NOUN,obj,aver,O
12,4,d',di,ADP,mark,scoperti,O
12,5,essere,essere,AUX,aux:pass,scoperti,O
12,6,scoperti,scoprire,VERB,acl,paura,O
12,7,e,e,CCONJ,cc,finivano,O
12,8,",",",",PUNCT,punct,finivano,O
12,9,non,non,ADV,advmod,finivano,O
12,10,la,la,PRON,obj,finivano,O
12,11,finivano,finire,VERB,conj,Cominciarono,O
12,12,più,più,ADV,advmod,finivano,O
12,13,con,con,ADP,case,riverenze,O
12,14,le,il,DET,det,riverenze,O
12,15,riverenze,riverenza,NOUN,obl,finivano,O
12,16,.,.,PUNCT,punct,Cominciarono,O
13,0,Gambara,Gambara,PROPN,nsubj,pensato,O
13,1,",",",",PUNCT,punct,Gambara,O
13,2,che,che,DET,det,astrologo,O
13,3,astrologo,astrologo,NOUN,nsubj,era,O
13,4,non,non,ADV,advmod,contadino,O
13,5,era,essere,AUX,aux,pensato,O
13,6,",",",",PUNCT,punct,contadino,O
13,7,ma,ma,CCONJ,cc,contadino,O
13,8,contadino,contadino,ADJ,conj,era,O
13,9,",",",",PUNCT,punct,malizioso,O
13,10,e,e,CCONJ,cc,malizioso,O
13,11,perciò,perciò,ADV,advmod,malizioso,O
13,12,malizioso,malizioso,ADJ,conj,contadino,O
13,13,",",",",PUNCT,punct,pensato,O
13,14,subito,subito,ADV,advmod,pensato,O
13,15,aveva,avere,AUX,aux,pensato,O
13,16,pensato,pensare,VERB,root,ROOT,O
13,17,che,che,SCONJ,mark,saperne,O
13,18,i,il,DET,det,servi,O
13,19,servi,servo,NOUN,nsubj,saperne,O
13,20,dovessero,dovere,AUX,aux,saperne,O
13,21,saperne,sapere,VERB,ccomp,pensato,O
13,22,qualcosa,qualcosa,PRON,obj,saperne,O
13,23,",",",",PUNCT,punct,pensò,O
13,24,e,e,CCONJ,cc,pensò,O
13,25,pensò,pensare,VERB,conj,pensato,O
13,26,di,di,ADP,mark,far,O
13,27,far,fare,VERB,xcomp,pensò,O
13,28,li,li,PRON,obj,far,O
13,29,cascare,cascare,VERB,ccomp,far,O
13,30,in,in,ADP,case,inganno,O
13,31,un,uno,DET,det,inganno,O
13,32,inganno,inganno,NOUN,obl,cascare,O
13,33,.,.,PUNCT,punct,pensato,O
14,0,Un,uno,DET,det,giorno,O
14,1,giorno,giorno,NOUN,obl,nascose,O
14,2,",",",",PUNCT,punct,giorno,O
14,3,a,a,ADP,case,ora,O
14,4,l',il,DET,det,ora,O
14,5,ora,ora,NOUN,obl,nascose,O
14,6,in,in,ADP,case,cui,O
14,7,cui,cui,PRON,obl,portavano,O
14,8,gli,gli,PRON,iobj,portavano,O
14,9,portavano,portare,VERB,acl:relcl,ora,O
14,10,il,il,DET,det,pranzo,O
14,11,pranzo,pranzo,NOUN,obj,portavano,O
14,12,",",",",PUNCT,punct,ora,O
14,13,si,si,PRON,expl,nascose,O
14,14,nascose,nascondere,VERB,root,ROOT,O
14,15,sotto,sotto,ADP,case,letto,O
14,16,il,il,DET,det,letto,O
14,17,letto,letto,NOUN,obl,nascose,O
14,18,.,.,PUNCT,punct,nascose,O
15,0,Entrò,entrare,VERB,root,ROOT,O
15,1,il,il,DET,det,primo,O
15,2,primo,primo,ADJ,nsubj,Entrò,O
15,3,di,di,ADP,case,servi,O
15,4,i,il,DET,det,servi,O
15,5,servi,servo,NOUN,nmod,primo,O
15,6,e,e,CCONJ,cc,vide,O
15,7,non,non,ADV,advmod,vide,O
15,8,vide,vedere,VERB,conj,Entrò,O
15,9,nessuno,nessuno,PRON,obj,vide,O
15,10,.,.,PUNCT,punct,Entrò,O
16,0,Di,di,ADP,case,letto,O
16,1,sotto,sotto,ADP,fixed,Di,O
16,2,il,il,DET,det,letto,O
16,3,letto,letto,NOUN,obl,disse,O
16,4,Gambara,Gambara,PROPN,nsubj,disse,O
16,5,disse,dire,VERB,root,ROOT,O
16,6,forte,forte,ADJ,xcomp,disse,O
16,7,:,:,PUNCT,punct,disse,O
16,8,-,-,PUNCT,punct,uno,O
16,9,E,e,CCONJ,cc,uno,O
16,10,uno,uno,PRON,parataxis,lasciò,O
16,11,!-,!-,PUNCT,punct,uno,O
16,12,il,il,DET,det,servo,O
16,13,servo,servo,NOUN,nsubj,lasciò,O
16,14,lasciò,lasciare,VERB,parataxis,disse,O
16,15,il,il,DET,det,piatto,O
16,16,piatto,piatto,NOUN,obj,lasciò,O
16,17,e,e,CCONJ,cc,ritirò,O
16,18,si,si,PRON,expl,ritirò,O
16,19,ritirò,ritirare,VERB,conj,lasciò,O
16,20,spaventato,spaventato,ADJ,xcomp,ritirò,O
16,21,.,.,PUNCT,punct,disse,O
17,0,Entrò,entrare,VERB,root,ROOT,O
17,1,il,il,DET,det,servo,O
17,2,secondo,secondo,ADJ,amod,servo,O
17,3,servo,servo,NOUN,nsubj,Entrò,O
17,4,:,:,PUNCT,punct,Entrò,O
17,5,-,-,PUNCT,punct,due!,O
17,6,E,e,CCONJ,cc,due!,O
17,7,due!,due!,NOUN,parataxis,Entrò,O
17,8,-,-,PUNCT,punct,due!,O
17,9,e,e,CCONJ,cc,scappò,O
17,10,scappò,scappare,VERB,conj,Entrò,O
17,11,via,via,ADV,advmod,scappò,O
17,12,anche,anche,ADV,advmod,lui,O
17,13,lui,lui,PRON,nsubj,scappò,O
17,14,.,.,PUNCT,punct,Entrò,O
18,0,Entrò,entrare,VERB,root,ROOT,O
18,1,il,il,DET,det,terzo,O
18,2,terzo,terzo,ADJ,nsubj,Entrò,O
18,3,",",",",PUNCT,punct,Entrò,O
18,4,-,-,PUNCT,punct,tre,O
18,5,E,e,CCONJ,cc,tre,O
18,6,tre,tre,NUM,conj,Entrò,O
18,7,!,!,PUNCT,punct,Entrò,O
19,0,I,il,DET,det,servi,O
19,1,servi,servo,NOUN,nsubj,consultarono,O
19,2,si,si,PRON,expl,consultarono,O
19,3,consultarono,consultare,VERB,root,ROOT,O
19,4,:,:,PUNCT,punct,consultarono,O
19,5,-,-,PUNCT,punct,scoperti,O
19,6,Ormai,ormai,ADV,advmod,scoperti,O
19,7,siamo,essere,AUX,aux,scoperti,O
19,8,scoperti,scoprire,VERB,parataxis,consultarono,O
19,9,",",",",PUNCT,punct,scoperti,O
19,10,se,se,SCONJ,mark,accusa,O
19,11,l',il,DET,det,astrologo,O
19,12,astrologo,astrologo,NOUN,nsubj,accusa,O
19,13,ci,ci,PRON,expl,accusa,O
19,14,accusa,accusare,VERB,advcl,spacciati,O
19,15,a,a,ADP,case,Re,O
19,16,il,il,DET,det,Re,O
19,17,Re,Re,PROPN,obl,accusa,O
19,18,",",",",PUNCT,punct,accusa,O
19,19,siamo,essere,AUX,aux,spacciati,O
19,20,spacciati,spacciare,VERB,conj,consultarono,O
19,21,.,.,PUNCT,punct,consultarono,O
20,0,Cosi,così,ADV,advmod,decisero,O
20,1,decisero,decidere,VERB,root,ROOT,O
20,2,d',di,ADP,mark,andare,O
20,3,andare,andare,VERB,xcomp,decisero,O
20,4,da,da,ADP,case,astrologo,O
20,5,l',il,DET,det,astrologo,O
20,6,astrologo,astrologo,NOUN,obl,andare,O
20,7,e,e,CCONJ,cc,confessar,O
20,8,confessar,confessare,VERB,conj,andare,O
20,9,gli,gli,PRON,iobj,confessar,O
20,10,il,il,DET,det,furto,O
20,11,furto,furto,NOUN,obj,confessar,O
20,12,.,.,PUNCT,punct,decisero,O
21,0,-,-,PUNCT,punct,gente,O
21,1,Noi,noi,PRON,nsubj,gente,O
21,2,siamo,essere,AUX,cop,gente,O
21,3,povera,povero,ADJ,amod,gente,O
21,4,gente,gente,NOUN,root,ROOT,O
21,5,",",",",PUNCT,punct,fecero,O
21,6,-,-,PUNCT,punct,fecero,O
21,7,gli,gli,PRON,iobj,fecero,O
21,8,fecero,fare,VERB,parataxis,gente,O
21,9,",",",",PUNCT,punct,tradirò,O
21,10,-,-,PUNCT,punct,perduti,O
21,11,e,e,CCONJ,cc,perduti,O
21,12,se,se,SCONJ,mark,dite,O
21,13,dite,dire,VERB,advcl,perduti,O
21,14,a,a,ADP,case,Re,O
21,15,il,il,DET,det,Re,O
21,16,Re,Re,PROPN,obl,dite,O
21,17,quello,quello,PRON,obj,dite,O
21,18,che,che,PRON,nsubj,scoperto,O
21,19,avete,avere,AUX,aux,scoperto,O
21,20,scoperto,scoprire,VERB,acl:relcl,quello,O
21,21,",",",",PUNCT,punct,dite,O
21,22,siamo,essere,AUX,cop,perduti,O
21,23,perduti,perduto,ADJ,conj,gente,O
21,24,-,-,PUNCT,punct,tradirò,O
21,25,lo,lo,PRON,obj,tradirò,O
21,26,non,non,ADV,advmod,tradirò,O
21,27,vi,vi,PRON,expl,tradirò,O
21,28,tradirò,tradire,VERB,parataxis,gente,O
21,29,",",",",PUNCT,punct,fate,O
21,30,però,però,ADV,advmod,fate,O
21,31,voi,voi,PRON,nsubj,fate,O
21,32,fate,fare,VERB,conj,tradirò,O
21,33,quel,quello,PRON,obj,fate,O
21,34,che,che,PRON,nsubj,dico,O
21,35,vi,vi,PRON,iobj,dico,O
21,36,dico,dire,VERB,acl:relcl,quel,O
21,37,.,.,PUNCT,punct,tradirò,O
22,0,Prendete,prendere,VERB,root,ROOT,O
22,1,l',il,DET,det,anello,O
22,2,anello,anello,NOUN,obj,Prendete,O
22,3,e,e,CCONJ,cc,fatelo,O
22,4,fatelo,fare,VERB,conj,Prendete,O
22,5,inghiottire,inghiottire,VERB,ccomp,fatelo,O
22,6,a,a,ADP,case,tacchino,O
22,7,quel,quello,DET,det,tacchino,O
22,8,tacchino,tacchino,NOUN,obl,inghiottire,O
22,9,che,che,PRON,nsubj,è,O
22,10,c',ci,PRON,expl,è,O
22,11,è,essere,VERB,acl:relcl,tacchino,O
22,12,laggiù,laggiù,ADV,advmod,è,O
22,13,in,in,ADP,case,cortile,O
22,14,cortile,cortile,NOUN,obl,è,O
22,15,.,.,PUNCT,punct,Prendete,O
23,0,Poi,poi,ADV,advmod,lasciate,O
23,1,lasciate,lasciare,VERB,root,ROOT,O
23,2,fare,fare,VERB,ccomp,lasciate,O
23,3,a,a,ADP,case,me,O
23,4,me,me,PRON,obl,fare,O
23,5,.,.,PUNCT,punct,lasciate,O
24,0,Il,il,DET,det,giorno,O
24,1,giorno,giorno,NOUN,obl,presentò,O
24,2,dopo,dopo,ADV,advmod,giorno,O
24,3,Gambara,Gambara,PROPN,nsubj,presentò,O
24,4,si,si,PRON,expl,presentò,O
24,5,presentò,presentare,VERB,root,ROOT,O
24,6,a,a,ADP,case,Re,O
24,7,il,il,DET,det,Re,O
24,8,Re,Re,PROPN,obl,presentò,O
24,9,e,e,CCONJ,cc,disse,O
24,10,gli,gli,PRON,iobj,disse,O
24,11,disse,dire,VERB,conj,presentò,O
24,12,che,che,SCONJ,mark,riuscito,O
24,13,dopo,dopo,ADP,case,studi,O
24,14,lunghi,lungo,ADJ,amod,studi,O
24,15,studi,studio,NOUN,obl,riuscito,O
24,16,era,essere,AUX,aux,riuscito,O
24,17,riuscito,riuscire,VERB,ccomp,disse,O
24,18,a,a,ADP,mark,sapere,O
24,19,sapere,sapere,VERB,xcomp,riuscito,O
24,20,dov',dove,ADV,advmod,anello,O
24,21,era,essere,AUX,cop,anello,O
24,22,l',il,DET,det,anello,O
24,23,anello,anello,NOUN,ccomp,sapere,O
24,24,.,.,PUNCT,punct,presentò,O
25,0,-,-,PUNCT,punct,è,O
25,1,E,e,CCONJ,cc,è,O
25,2,dov',dove,ADV,advmod,è,O
25,3,è,essere,VERB,root,ROOT,O
25,4,?,?,PUNCT,punct,è,O
26,0,–,–,PUNCT,punct,inghiottito,O
26,1,-,-,PUNCT,punct,inghiottito,O
26,2,L',lo,PRON,obj,inghiottito,O
26,3,ha,avere,AUX,aux,inghiottito,O
26,4,inghiottito,inghiottire,VERB,root,ROOT,O
26,5,un,uno,DET,det,tacchino,O
26,6,tacchino,tacchino,NOUN,nsubj,inghiottito,O
26,7,.,.,PUNCT,punct,inghiottito,O
27,0,-,-,PUNCT,punct,sventrato,O
27,1,Fu,essere,AUX,aux:pass,sventrato,O
27,2,sventrato,sventrare,VERB,root,ROOT,O
27,3,il,il,DET,det,tacchino,O
27,4,tacchino,tacchino,NOUN,nsubj:pass,sventrato,O
27,5,e,e,CCONJ,cc,trovò,O
27,6,si,si,PRON,expl,trovò,O
27,7,trovò,trovare,VERB,conj,sventrato,O
27,8,l',il,DET,det,anello,O
27,9,anello,anello,NOUN,nsubj,trovò,O
27,10,.,.,PUNCT,punct,sventrato,O
28,0,Il,il,DET,det,Re,O
28,1,Re,Re,PROPN,nsubj,colmò,O
28,2,colmò,colmare,VERB,root,ROOT,O
28,3,di,di,ADP,case,ricchezze,O
28,4,ricchezze,ricchezza,NOUN,obl,colmò,O
28,5,l',il,DET,det,astrologo,O
28,6,astrologo,astrologo,NOUN,obj,colmò,O
28,7,e,e,CCONJ,cc,diede,O
28,8,diede,dare,VERB,conj,colmò,O
28,9,un,uno,DET,det,pranzo,O
28,10,pranzo,pranzo,NOUN,obj,diede,O
28,11,in,in,ADP,case,onore,O
28,12,suo,suo,DET,det:poss,onore,O
28,13,onore,onore,NOUN,obl,diede,O
28,14,.,.,PUNCT,punct,colmò,O
29,0,Fra,fra,ADP,case,pietanze,O
29,1,le,il,DET,det,pietanze,O
29,2,tante,tanto,DET,det,pietanze,O
29,3,pietanze,pietanza,NOUN,obl,portato,O
29,4,fu,essere,AUX,aux:pass,portato,O
29,5,portato,portare,VERB,root,ROOT,O
29,6,in,in,ADP,case,tavola,O
29,7,tavola,tavola,NOUN,obl,portato,O
29,8,un,uno,DET,det,piatto,O
29,9,piatto,piatto,NOUN,nsubj:pass,portato,O
29,10,di,di,ADP,case,gamberi,O
29,11,gamberi,gambero,NOUN,nmod,piatto,O
29,12,.,.,PUNCT,punct,portato,O
30,0,Bisogna,bisognare,VERB,root,ROOT,O
30,1,sapere,sapere,VERB,ccomp,Bisogna,O
30,2,che,che,SCONJ,mark,volta,O
30,3,in,in,ADP,case,paese,O
30,4,quel,quello,DET,det,paese,O
30,5,paese,paese,NOUN,obl,volta,O
30,6,era,essere,AUX,cop,volta,O
30,7,la,il,DET,det,volta,O
30,8,prima,primo,ADJ,amod,volta,O
30,9,volta,volta,NOUN,ccomp,sapere,O
30,10,che,che,SCONJ,mark,vedevano,O
30,11,se,se,PRON,expl,vedevano,O
30,12,ne,ne,PRON,iobj,vedevano,O
30,13,vedevano,vedere,VERB,ccomp,volta,O
30,14,",",",",PUNCT,punct,vedevano,O
30,15,regalo,regalo,NOUN,obj,vedevano,O
30,16,di,di,ADP,case,re,O
30,17,un,uno,DET,det,re,O
30,18,re,re,NOUN,nmod,regalo,O
30,19,d',di,ADP,case,paese,O
30,20,altro,altro,ADJ,amod,paese,O
30,21,paese,paese,NOUN,nmod,re,O
30,22,.,.,PUNCT,punct,Bisogna,O
31,0,-,-,PUNCT,punct,sapermi,O
31,1,Tu,tu,PRON,nsubj,sapermi,O
31,2,che,che,DET,det,is,O
31,3,is,is,X,flat:foreign,Tu,O
31,4,i,il,DET,det,astrologo,O
31,5,astrologo,astrologo,NOUN,nmod,Tu,O
31,6,",",",",PUNCT,punct,disse,O
31,7,-,-,PUNCT,punct,disse,O
31,8,disse,dire,VERB,parataxis,sapermi,O
31,9,il,il,DET,det,Re,O
31,10,Re,Re,PROPN,nsubj,disse,O
31,11,a,a,ADP,case,contadino,O
31,12,il,il,DET,det,contadino,O
31,13,contadino,contadino,NOUN,obl,disse,O
31,14,",",",",PUNCT,punct,disse,O
31,15,-,-,PUNCT,punct,disse,O
31,16,dovresti,dovere,AUX,aux,sapermi,O
31,17,sapermi,sapere,VERB,root,ROOT,O
31,18,dire,dire,VERB,ccomp,sapermi,O
31,19,come,come,SCONJ,mark,chiamano,O
31,20,si,si,PRON,expl,chiamano,O
31,21,chiamano,chiamare,VERB,ccomp,dire,O
31,22,questi,questo,PRON,nsubj,chiamano,O
31,23,che,che,PRON,nsubj,qui,O
31,24,sono,essere,AUX,cop,qui,O
31,25,qui,qui,ADV,acl:relcl,questi,O
31,26,in,in,ADP,case,piatto,O
31,27,il,il,DET,det,piatto,O
31,28,piatto,piatto,NOUN,obl,qui,O
31,29,.,.,PUNCT,punct,sapermi,O
32,0,Il,il,DET,det,poveretto,O
32,1,poveretto,poveretto,NOUN,nsubj,viste,O
32,2,di,di,ADP,case,bestie,O
32,3,bestie,bestia,NOUN,nmod,poveretto,O
32,4,così,così,ADV,advmod,viste,O
32,5,non,non,ADV,advmod,viste,O
32,6,ne,ne,PRON,iobj,viste,O
32,7,aveva,avere,AUX,aux,viste,O
32,8,mai,mai,ADV,advmod,viste,O
32,9,viste,vedere,VERB,root,ROOT,O
32,10,.,.,PUNCT,punct,viste,O
